Row Labels,Accommodation,Accounting & tax services,Advertising & market research,Agriculture,Air transport,Animal feeds,Aquaculture,Architectural services etc,Auxiliary financial services,Bakery & farinaceous,Beer & malt,Building & landscape services,Business support services,Cement lime & plaster,Cleaning & toilet preparations,Coal & lignite,"Coke, petroleum & petrochemicals",Computer services,"Computers, electronics & opticals",Construction,Creative services,Cultural services,"Dairy products, oils & fats processing",Education,Electrical equipment,Electricity,Employment services,Fabricated metal,Film video & TV etc; broadcasting,Financial services,Fish & fruit processing,Fishing,Food & beverage services,Forestry harvesting,Forestry planting,Furniture,Gambling,Gas etc,"Glass, clay & stone etc",Grain milling & starch,Head office & consulting services,Health,Households as employers,Imputed rent,Information services,"Inorganic chemicals, dyestuffs & agrochemicals",Insurance & pensions,Iron & Steel,Leather goods,Legal activities,Machinery & equipment,Meat processing,Membership organisations,Mining Support,Motor Vehicles,"Oil & gas extraction, metal ores & other",Other chemicals,Other food,Other land transport,Other manufacturing,Other metals & casting,Other personal services,Other professional services,Other transport equipment,"Paints, varnishes and inks etc",Paper & paper products,Pharmaceuticals,Post & courier,Printing and recording,Public administration & defence,Publishing services,Rail transport,Real estate - fee or contract,Real estate - own,Rental and leasing services,Repair & maintenance,Repairs - personal and household,Research & development,Residential care and social work,Rubber & Plastic,Security & investigation,Soft Drinks,Spirits & wines,Sports & recreation,Support services for transport,Telecommunications,Textiles,Tobacco,Travel & related services,Veterinary services,"Waste, remediation & management",Water and sewerage,Water transport,Wearing apparel,Wholesale & Retail - vehicles,Wood and wood products
Leather goods,0.022759,0.008255,0.022341,0.021265,0.027648,0.035345,0.091662,0.01786,0.011707,0.014849,0.025127,0.036862,0.042862,0.010411,0.01512,0.012652,0.006655,0.009145,0.009102,0.026853,0.048311,0.033632,0.016239,0.008551,0.014095,0.004074,0.007904,0.013813,0.027621,0.012258,0.023915,0.091788,0.043755,0.020455,0.020607,0.21843,0.027225,0.003386,0.009014,0.013226,0.015731,0.009484,0,0.002165,0.01573,0.005292,0.013848,0.01074,1013.935,0.007003,0.024705,0.052432,0.016017,0.010652,0.079438,0.01066,0.007814,0.02874,0.029892,0.013114,0.012821,0.031602,0.019724,0.085266,0.011092,0.019353,0.00335,0.057694,0.015659,0.075682,0.007597,0.052565,0.005829,0.008011,0.023259,0.009787,0.007494,0.047557,0.02887,0.027028,0.016686,0.019148,0.007967,0.022432,0.014301,0.024799,0.044928,0,0.018247,0.127712,0.013642,0.007164,0.007008,0.053316,0.42581,0.012844
Legal activities,2.550087,12.56703,6.618656,13.43046,3.301804,2.242003,1.466969,13.4138,4.216546,1.222821,2.086246,5.117665,7.172806,1.778803,1.306099,1.056921,1.370344,6.289735,1.52396,3.656848,2.313518,1.439206,4.926344,0.678857,1.272061,1.609597,5.414301,1.655637,1.999605,9.563517,1.896875,1.939498,2.272138,1.41766,1.328807,3.239354,2.096348,1.102777,1.191988,3.601772,4.969652,5.460945,0,2.320273,6.370401,1.139789,10.91824,0.685185,1.364294,1022.23,1.701627,4.682775,1.927026,14.38157,0.984076,1.182119,1.237945,2.333703,2.890498,2.122463,1.14094,0.9505,4.229363,1.617954,1.753786,1.181661,0.991258,2.328166,1.628856,10.56695,0.727954,3.652187,8.927073,2.15642,11.77699,1.301102,5.290965,1.866301,1.450513,1.202579,2.740217,1.519779,1.675549,2.015012,2.475827,1.933628,0.790481,0,2.127483,4.278037,3.312751,1.465736,5.482076,2.165505,2.190498,1.245416
Machinery & equipment,0.349006,0.246527,0.298956,1.361741,3.183042,2.630988,6.267286,0.491587,0.411195,2.115172,8.539633,1.282165,0.343746,1.495578,3.664869,2.684573,2.166458,0.387448,4.013428,5.116958,0.38756,1.486429,1.954081,0.293815,7.276805,1.27545,0.281989,4.538339,0.227631,0.397111,2.974972,8.856234,0.485992,3.263012,2.000017,2.135649,0.287997,0.546911,1.790745,2.683704,0.248687,0.544645,0,0.244799,0.556375,1.134913,0.627015,2.536352,1.41529,0.286692,1010.511,1.722325,0.269388,5.369578,8.698081,2.231649,1.53673,1.995841,1.240314,3.230347,6.656007,0.147321,0.213294,17.67615,4.945262,2.106086,0.620189,0.622499,1.569015,0.827149,0.644996,1.909051,0.312796,0.699399,0.903157,6.635227,1.516695,1.765114,0.388017,6.805684,0.473728,4.353256,2.530066,0.827892,1.013886,1.426295,1.437419,0,0.831949,2.575659,1.86981,0.935253,4.362033,1.418772,1.642107,5.098264
Meat processing,1.449059,0.094718,0.092266,3.050031,0.255747,17.52526,3.560123,0.115049,0.042729,3.648845,0.476121,0.322174,0.669548,0.108969,0.108153,0.065407,0.106496,0.050829,0.123803,0.079454,0.243281,0.206058,1.422703,0.283529,0.080633,0.032749,0.03902,0.075899,0.059481,0.10337,0.978916,2.390933,2.411452,0.132778,0.145042,0.095191,0.048779,0.048681,0.240017,1.23113,0.065328,0.601494,0,0.010693,0.070675,0.078846,0.117564,0.159978,68.47635,0.064551,0.103774,1025.79,0.086686,0.066659,0.128755,0.161722,0.107105,11.54813,0.121022,0.065008,0.085668,0.041971,0.053014,0.079011,0.207152,0.12474,0.12949,0.185706,0.085701,0.235896,0.072966,0.180424,0.032204,0.028415,0.061273,0.048392,0.047318,0.126135,0.593963,0.130875,0.076624,1.004072,0.271874,0.779145,0.08443,0.081061,0.103268,0,0.116541,0.334956,0.173899,0.026325,0.112741,0.106155,0.118586,0.103472
Membership organisations,1.33294,1.223739,4.500192,0.280042,1.325506,0.796039,0.345989,1.475892,0.861323,0.798798,1.161338,3.996139,3.184944,0.389393,0.691989,0.237106,0.473411,0.625931,0.877802,0.359453,38.78141,25.08157,0.230575,1.110065,0.389074,0.665828,8.867698,0.711879,35.42,3.536277,0.352277,0.427459,2.205421,2.80542,7.829845,1.015162,31.778,0.492381,0.29614,0.355837,0.766303,0.425346,0,0.234774,1.075687,0.640438,1.528075,0.176255,0.187421,0.652796,0.750191,0.363216,1017.832,0.351436,0.358959,0.364699,0.29567,0.432201,0.842538,0.803779,0.399526,0.391078,2.907889,0.776376,0.953321,0.47959,0.452765,1.542059,1.377977,2.020835,0.713566,1.000978,0.758199,0.352219,0.521459,0.976495,0.895194,0.672809,4.79207,0.355659,2.326976,0.324106,1.120177,46.26557,1.951985,2.971419,0.138277,0,2.559338,0.27871,0.637561,0.172374,0.570972,1.417618,0.329787,0.475571
Mining Support,0.924216,1.048664,0.964811,2.353536,0.832041,2.369708,5.335839,3.827444,0.53247,1.900581,2.342743,1.36272,1.23733,3.587167,1.350616,1.999488,1.497893,1.159957,2.262457,2.669286,0.585383,0.767943,2.799684,0.639034,1.596734,0.777313,1.2098,1.925954,0.536803,1.047067,3.153847,1.074442,1.018896,2.908912,2.486773,2.727321,0.58635,0.759051,2.676264,2.244939,0.689887,1.349878,0,0.427132,1.556986,1.888398,1.37448,2.056578,1.749233,0.752878,1.791287,2.566742,0.548856,1076.571,2.156648,5.566427,1.350396,1.740635,1.659523,1.498413,1.881261,0.269247,0.970159,1.911377,1.753694,2.248529,0.429001,1.508488,2.31562,1.0782,1.18447,1.840943,1.941739,0.879143,1.93418,1.154782,1.316582,0.885155,0.757826,1.468925,0.600219,2.371639,2.0012,0.788628,1.153088,0.894383,1.448153,0,1.96455,1.638318,3.152725,0.548256,0.73808,2.39426,1.946231,2.85072
Motor Vehicles,0.11439,0.132131,0.10903,0.629992,0.266215,0.379162,0.362512,0.183768,0.140872,0.374598,0.834323,0.265575,0.12837,0.805764,0.475091,0.957188,0.183966,0.169091,0.413795,0.493085,0.08241,0.186519,0.589114,0.092871,0.773309,0.113915,0.147193,0.478665,0.094953,0.163023,0.393137,0.449428,0.118698,0.505315,0.535419,0.668224,0.07535,0.062411,0.375609,0.274507,0.092662,0.115624,0,0.036627,0.257242,0.154478,0.244649,0.860617,0.237182,0.142237,1.359508,0.436193,0.07216,0.273772,1007.136,0.879698,0.228275,0.370218,1.109705,0.420325,0.749765,0.071705,0.107127,0.750354,0.425653,0.308252,0.081671,0.419647,0.359092,0.221059,0.126524,0.410726,0.121442,0.111791,1.650474,0.661379,0.495223,0.167879,0.171572,1.20778,1.501207,0.618562,0.283178,0.209843,0.228382,0.220229,0.371689,0,0.384676,0.215666,1.158879,0.171784,0.223246,0.408644,2.4425,0.857637
"Oil & gas extraction, metal ores & other",0.364402,0.186597,0.143641,1.499377,0.500297,0.507067,1.242325,0.323854,0.133278,0.486546,1.92707,0.837171,0.228409,104.5829,0.780092,0.573043,1.35872,0.179573,0.506041,11.89483,0.498382,0.73811,0.857061,0.262045,0.451075,0.22481,0.188222,0.441011,0.18892,0.307635,0.664985,0.581728,0.612818,1.288182,0.80612,0.709729,0.41617,0.179137,73.05966,0.687727,0.163996,0.282264,0,0.421537,0.177392,45.70676,0.579557,0.806663,0.476628,0.237754,0.414916,0.79688,0.394124,0.438762,0.615764,1039.191,5.332318,0.731893,0.435257,15.73339,1.464588,0.13521,0.189135,0.553496,4.228168,2.961878,0.136713,0.405645,0.673183,0.63426,0.284197,1.224188,0.244341,1.156889,0.279063,0.280581,0.229139,0.152082,0.1831,1.279356,0.228319,0.928555,1.019605,0.693493,1.441016,0.406907,0.366277,0,2.032155,0.458244,0.780858,0.409897,0.472125,0.399587,0.435118,0.911167
Other chemicals,0.146567,0.081083,0.289325,0.832377,0.351403,2.659459,0.507267,0.167978,0.126231,0.310526,1.360858,5.551331,0.332107,1.87969,6.303743,7.494729,1.373581,0.147027,1.559489,1.12062,1.422965,0.887256,0.671063,0.359572,0.666794,0.153309,0.105232,0.900158,0.332345,0.171348,0.811992,0.454818,0.192245,2.674371,2.594306,0.676251,1.51041,0.088987,0.54404,1.137363,0.175538,1.154281,0,0.056367,0.115719,0.850419,0.290838,0.468992,0.457614,0.117042,0.778355,1.152949,0.4705,0.406037,1.063852,1.771255,1053.514,2.456587,0.430501,1.368523,0.794038,0.477571,0.421666,1.161795,5.623423,3.313391,0.172993,0.176866,9.932394,0.270331,0.919734,0.317254,0.151893,0.177376,0.130962,0.441151,0.154246,0.344198,0.334498,1.747761,0.206532,0.625074,0.305279,0.476398,0.3296,0.198678,0.302609,0,0.226859,3.026561,0.593803,0.810352,0.205829,0.196608,0.525029,2.225713
Other food,0.483808,0.046031,0.053538,0.201755,0.13835,3.693439,0.494599,0.06377,0.056079,5.800961,1.184056,0.26955,0.105175,0.063937,0.090942,0.078974,0.049471,0.032251,0.066503,0.06775,0.092481,0.132341,0.668692,0.098168,0.04967,0.02963,0.041779,0.037989,0.049469,0.075301,3.367583,0.457439,0.952554,0.069149,0.048676,0.036577,0.07201,0.02047,0.090541,2.078421,0.051565,0.163342,0,0.007792,0.036224,0.038746,0.065819,0.099543,2.710069,0.034522,0.060697,1.612627,0.094695,0.07214,0.06302,0.068816,0.450448,1008.073,0.06438,0.03864,0.043724,0.033991,0.055663,0.035946,0.13326,0.116849,0.095798,0.14994,0.108297,0.041791,0.039086,0.104119,0.02041,0.016008,0.025946,0.025993,0.020521,0.089358,0.290832,0.050577,0.064678,7.448701,0.660677,0.136388,0.06666,0.052408,0.042747,0,0.097752,0.345894,0.06287,0.016877,0.122455,0.040702,0.057612,0.054382
Other land transport,6.402533,6.411232,3.856218,25.34233,3.947941,20.68984,68.15233,4.615521,2.910584,18.77701,16.07595,3.440193,2.45323,41.69587,11.17403,12.20278,9.224652,2.592633,7.864465,8.705096,1.663628,2.172351,28.26847,5.923624,9.29125,1.659745,3.444856,14.04442,1.553648,4.729155,19.79617,6.176693,6.455917,26.7703,33.41926,25.13505,1.818432,1.664992,30.35145,19.64833,1.656026,8.969115,0,0.658535,2.945011,15.24308,6.64065,13.06529,12.15897,4.264202,6.4552,22.94616,1.315098,3.746719,8.403812,83.19429,8.306752,11.69933,1015.65,8.900102,12.17694,1.311494,1.483672,5.97503,13.25155,21.04915,1.729164,15.57205,17.90558,4.947201,10.80919,7.892543,4.155122,1.764069,12.37806,4.453416,5.798013,2.263804,7.342414,8.318495,1.693437,23.25783,21.32213,3.69585,9.628251,4.319861,8.81483,0,18.41411,13.89051,34.35464,3.466277,3.41475,16.25478,16.89982,32.58334
Other manufacturing,0.164933,0.201571,0.39634,0.476321,0.584956,0.895709,1.387785,0.43556,0.480718,0.460901,1.221447,0.774305,0.111716,0.354095,0.867586,0.486424,0.628431,0.296832,1.205404,1.008939,0.185773,0.384204,0.69422,0.297536,1.425857,0.311902,0.137536,0.677924,0.110413,0.28508,0.666885,1.490401,0.248032,0.634212,0.709647,0.662058,0.287205,0.186561,0.511977,0.648297,0.165034,0.545326,0,0.063217,0.279436,0.307505,0.349164,0.41679,0.471077,0.360872,5.393365,0.477944,0.119842,0.565071,2.026108,0.51011,1.025761,0.486595,0.506959,1003.479,0.777571,0.105901,0.136508,3.102562,0.980558,0.469243,0.472405,0.286961,0.954929,0.368744,0.692516,0.433531,0.267,0.168269,0.253305,2.58013,0.30347,0.56541,0.245271,1.318648,0.157363,0.800002,0.397081,0.278794,0.369714,0.691118,0.461569,0,0.304193,7.991993,0.334016,0.817688,0.496891,1.222849,0.600455,0.858128
Other metals & casting,0.045549,0.036547,0.060652,0.158142,0.193564,0.322784,0.451416,0.063552,0.049455,0.216958,1.754605,0.448464,0.042476,0.373122,0.423216,0.228622,1.022746,0.069031,2.912741,1.231231,0.058983,0.115583,0.221297,0.040749,9.259451,0.627483,0.030241,11.24901,0.026166,0.056257,0.58928,0.87277,0.062418,0.232453,0.116514,0.992288,0.04645,0.117177,1.186356,0.145675,0.034104,0.070457,0,0.050516,0.090357,0.090442,0.133032,1.050613,0.196731,0.037108,10.62628,0.187628,0.030584,0.631529,7.860621,0.191427,0.913699,0.359561,0.160328,3.470102,1051.716,0.025437,0.030721,4.458751,0.360632,0.151459,0.388302,0.193183,0.150357,0.131003,0.058614,0.201715,0.045497,0.135181,0.098651,1.885782,0.220552,0.153344,0.037337,1.466301,0.042222,0.68721,0.22289,0.07566,0.083633,0.278308,0.215088,0,0.075322,0.165891,0.210094,0.092003,0.184997,0.1188,0.155752,0.415836
Other personal services,1.832915,2.676595,3.560499,0.284885,6.863401,0.292603,0.544205,2.879623,0.862207,0.260756,1.46752,1.391487,0.36463,0.985947,0.310364,0.520941,0.507334,0.954945,1.088009,0.699702,2.590475,2.006534,0.259739,0.85122,0.291219,1.354812,2.957542,0.629023,3.681126,3.336951,0.473868,2.02432,4.361819,12.20955,0.432232,1.752458,1.479567,0.650985,0.714171,0.368536,0.799393,3.376981,0,0.284045,1.157443,0.410865,1.360178,0.261023,0.245369,0.770428,0.491763,0.283929,0.676501,0.771669,0.265986,0.480291,0.207512,0.48293,0.715549,1.304327,0.861572,1005.17,1.185214,0.972627,0.605156,0.613328,0.295571,5.761737,1.699901,3.43015,2.014452,1.346295,2.455492,0.516979,7.117041,0.691615,0.489245,0.634038,4.579988,0.322062,1.291652,0.408194,1.46095,2.377369,0.868089,2.028636,0.178518,0,1.141526,4.542926,2.156812,0.228177,3.022458,0.423604,0.362004,1.231437
Other professional services,1.36702,0.876539,1.343284,0.508011,1.373716,0.547799,0.603929,4.585668,1.18145,0.280668,0.829807,2.034041,14.63351,0.897325,0.691995,0.391936,0.642071,6.20276,4.925662,1.365497,3.190568,3.009876,0.559362,2.449724,0.802687,0.598699,1.48872,0.998912,1.28028,2.850608,1.217522,2.581663,1.164138,1.319821,2.876274,0.873592,2.158337,0.39241,0.579936,0.60609,6.094255,1.184895,0,0.26177,5.76154,0.438608,3.655472,0.537949,0.31695,1.901754,0.872979,0.742127,3.014479,0.684854,0.586152,0.606279,3.666773,0.687017,1.58386,0.839395,0.519638,0.967067,1017.327,1.246919,0.576315,0.500334,0.505006,1.847024,0.765121,2.244615,0.459417,1.340845,1.599897,0.856067,1.745141,0.932687,4.761628,6.608657,0.731905,0.58278,0.831744,0.972128,0.671021,2.902713,1.247857,1.014856,0.311349,0,0.928942,1.24919,2.668199,0.311657,0.920692,1.063656,1.537726,0.833498
Other transport equipment,0.357098,0.333341,0.358461,0.616496,10.28583,1.250341,27.58243,1.45173,0.346029,0.950295,3.909292,1.37445,0.468258,0.762114,1.501942,1.202956,1.023083,0.446842,1.6876,2.349574,0.32594,0.756833,0.814583,0.176621,3.065394,0.630099,0.412289,2.136913,0.258704,0.502173,11.75303,132.9131,0.44991,1.504536,0.950483,1.206287,0.33057,0.31062,0.848222,1.23414,0.31749,0.38447,0,0.16956,0.678248,0.571964,0.732699,1.14573,0.638784,0.293677,4.549654,0.741795,0.271251,4.956593,3.389013,0.93897,0.727881,0.933976,0.71819,1.444808,3.287262,0.114986,0.336136,1097.574,1.756353,0.864394,0.319456,0.708324,0.707086,4.378336,0.304681,1.104532,0.593559,0.519366,0.537647,3.432159,0.777925,0.457153,0.189472,2.726485,0.220531,1.946837,1.187011,0.52446,0.706175,0.720889,0.567714,0,0.730645,1.149829,0.914191,0.433363,2.384004,0.721178,0.761012,2.399606
"Paints, varnishes and inks etc",0.062942,0.071484,0.333995,0.201984,0.066799,0.096767,0.154199,0.092016,0.095968,0.09245,0.320987,0.074128,0.05028,0.096254,0.164062,0.068336,0.077693,0.052968,0.09132,1.087088,0.16749,0.3399,0.135292,0.17586,0.85497,0.037199,0.029626,0.869022,0.071925,0.06293,0.133726,0.250359,0.11672,0.11273,0.09227,0.481644,0.206534,0.027466,0.583765,0.156084,0.026237,0.045976,0,0.050512,0.066953,0.042768,0.119143,0.101214,0.084097,0.04983,0.288449,0.12724,0.321806,0.09557,0.723499,0.070594,0.130674,0.120275,0.108647,0.138737,0.127956,0.066688,0.024598,1.348188,1020.99,2.515466,0.031297,0.062847,3.962115,0.216663,2.12783,0.265123,0.03222,0.161727,0.050886,0.587388,0.03969,0.116619,0.122997,0.396787,0.046993,0.160952,0.102365,0.333278,0.056615,0.083702,0.097347,0,0.096264,0.05312,0.1822,0.042659,0.054305,0.065585,0.078253,1.598651
Paper & paper products,0.563968,0.558585,1.363859,1.964591,0.641041,4.646912,1.164179,1.226345,1.353061,11.47743,7.205586,4.573128,0.451916,2.806558,12.65521,0.758444,1.256544,0.765136,1.894787,1.614081,0.667217,2.565719,6.030159,1.01438,3.18912,0.473214,0.225058,2.093915,0.257079,1.099267,9.793174,0.823042,0.927006,2.703781,6.735812,1.95411,0.269437,0.219699,3.967705,23.42925,0.590818,1.754419,0,0.196665,0.309634,1.081533,1.952095,0.708715,6.333298,0.856385,2.225322,5.693284,0.472293,0.336319,1.771167,0.974518,5.839077,10.82641,1.083365,2.419083,0.879625,0.321198,0.426265,1.343461,2.095247,1082.075,2.348641,0.697903,53.20151,2.236735,17.71056,0.450047,0.745684,0.559484,0.578942,0.759125,1.025058,0.565299,0.736726,12.18174,0.3047,8.265005,5.774905,1.458856,0.690057,0.546742,9.137545,0,1.118706,2.272463,1.306299,1.028366,0.316447,5.127701,1.09098,6.218597
Pharmaceuticals,0.343592,0.126221,0.162417,3.177404,0.242526,24.46859,1.712645,0.410911,0.186543,0.287134,0.434964,0.577146,2.007321,0.299563,3.210754,0.187834,0.28717,0.537333,0.376112,0.275763,0.476025,0.409234,1.284565,0.361229,0.302271,0.116472,0.095872,0.253636,0.326365,0.328131,0.748366,0.488278,0.427331,0.372745,0.255804,0.305014,0.359537,0.138211,0.266959,1.287901,0.878575,15.65917,0,0.036964,0.569277,0.289497,0.402776,0.340478,0.346978,0.287387,0.388758,1.231628,0.495536,0.14896,0.458049,0.281807,0.495999,0.542014,0.432395,0.274749,0.331417,0.197338,0.460788,0.300905,0.260373,0.289135,1012.141,0.290771,0.289431,0.633527,0.154361,0.221891,0.14754,0.119394,0.296499,0.20843,0.383974,3.530972,0.367837,0.294429,0.165977,0.287355,0.234357,0.417111,0.174207,0.195057,0.235416,0,0.227217,7.396324,0.48327,0.110712,0.133791,0.280085,0.410898,0.280181
Post & courier,3.6786,6.92844,3.256368,1.65686,3.265344,2.895676,2.186861,5.306752,27.53751,1.4499,4.817379,4.028344,2.50864,8.08931,5.630944,2.407268,3.203976,3.502368,1.136299,1.955153,2.243713,1.761893,1.913824,1.417099,1.686434,1.481665,4.149247,2.937606,1.998735,27.74433,2.187534,2.09565,3.404725,2.5125,1.415484,4.075003,1.526165,1.083002,2.568706,2.691443,2.613939,2.128853,0,1.741825,2.081343,1.388684,23.44845,1.858683,1.874029,8.166127,1.885354,1.462852,2.593996,3.266058,1.798389,2.703528,1.494732,7.200287,2.932916,1.837456,3.421297,3.629483,1.659665,2.25798,2.041479,3.114192,3.022818,1020.885,1.664184,8.62079,1.08686,2.230914,7.133427,2.198963,2.823429,1.773322,2.073488,2.175092,2.705941,1.572161,1.299458,14.00613,4.46093,2.250865,2.115157,4.942254,0.966107,0,2.110849,2.455953,3.701186,1.149147,2.587986,3.835558,3.286883,2.802889
Printing and recording,0.320375,0.396133,0.545359,0.658702,0.734928,0.581679,0.596827,0.643148,1.837353,0.967392,0.872233,2.865418,0.315008,0.428902,1.474529,0.381825,1.327417,0.455782,0.313702,0.611203,2.095411,7.051775,0.97133,2.671997,0.613954,0.318515,0.299072,0.616741,0.441944,1.614315,0.893868,0.587241,0.513686,0.563222,0.918452,0.511505,0.257456,0.158648,1.212745,1.692089,0.784835,2.325724,0,0.215801,0.293062,0.210869,6.816408,0.211095,0.605052,1.931998,0.930887,0.878509,0.621992,0.239427,0.58694,0.590281,0.828932,1.027356,0.765537,0.738514,0.233772,0.149347,0.693212,1.056396,2.304143,6.689875,1.607948,0.450146,1021.265,2.658489,28.62233,0.475085,0.838629,0.697238,0.30636,0.543627,0.666144,0.350396,0.875302,2.075855,0.401429,0.839198,1.164736,4.886493,1.287758,1.061783,1.078321,0,6.520725,1.277646,1.240953,0.231201,0.592616,0.784332,1.568903,0.679405
Public administration & defence,2.338409,1.834473,1.670151,2.435574,5.966422,3.462919,4.074693,91.26274,1.35443,2.179605,4.758537,3.281755,3.497996,3.040072,3.084062,3.045189,1.597088,2.242154,2.294641,8.827259,2.350848,2.663959,2.079404,0.719666,2.187515,1.658334,4.287011,4.616796,1.406471,3.327835,3.924834,1.549807,1.94944,14.84449,21.72205,8.141244,2.155263,1.098541,2.939367,3.282754,3.416282,2.105658,0,0.970715,3.00099,2.104296,3.596297,2.566193,4.960154,1.366503,3.091014,2.018417,1.12063,1.892368,1.734334,5.351716,2.180607,1.756809,38.77369,4.354174,3.395075,0.698562,2.258801,3.350775,4.45781,2.690189,2.613199,8.270675,3.025937,1004.815,1.519638,13.68935,3.690431,33.80068,2.13415,2.552663,2.452199,11.66356,0.727489,1.90964,1.287575,3.684731,4.572507,2.345963,1.708329,1.677299,1.973042,0,2.850362,2.883285,8.176574,1.608361,2.442114,3.464989,2.215186,4.343876
Publishing services,0.571978,0.361518,0.46921,0.219646,0.798876,0.797249,0.266608,1.115335,0.468853,0.726085,0.989158,0.415563,0.664114,0.574423,1.236352,0.298804,0.257929,0.920435,0.431495,0.311382,0.693244,1.437714,0.377751,0.708812,0.536207,0.613211,0.450816,0.540534,0.856943,1.117356,0.962561,0.22951,0.510965,0.920054,0.455066,1.332737,0.582113,0.348979,0.648211,2.732495,1.098843,0.165978,0,0.165461,0.926834,0.204258,1.545831,0.240909,0.960015,0.587041,0.499905,0.480281,1.133747,0.270778,0.35134,0.25198,0.424722,1.320189,0.596159,1.002468,0.330182,0.209592,0.365979,0.492542,1.715418,0.848467,0.711504,0.922148,3.469801,0.86251,1011.892,0.797054,0.827385,0.270778,0.887069,0.396828,0.418489,0.274905,0.516748,0.516487,0.30394,1.49206,1.139923,1.158211,0.594062,0.831744,0.481305,0,0.3577,0.277803,0.64533,0.192329,0.67579,1.173563,0.600601,0.751735
Rail transport,0.297538,0.48136,0.340303,0.408089,0.766283,0.183814,0.270109,0.610964,0.387812,0.425559,0.543379,0.258323,0.2291,2.110408,0.399644,4.14515,0.274626,0.169478,0.166369,0.58849,0.703633,4.319337,0.423783,1.124435,0.488735,0.258931,0.202536,0.698127,0.276024,0.444949,0.213208,0.30129,0.180037,22.35648,2.653688,1.241058,0.280652,0.215945,1.127588,0.592261,0.152264,2.541294,0,0.072457,0.358538,0.545157,1.307347,0.156733,0.151605,0.183866,0.475722,0.366291,0.33206,1.975132,0.352291,1.82825,0.232042,0.33268,0.597311,0.586149,0.17149,0.109656,0.25265,1.118153,0.417255,0.617263,0.070014,3.243505,0.580991,4.495993,0.363581,1003.639,0.842213,0.303994,0.626062,0.68545,0.899021,0.471566,0.29068,0.353184,0.623081,0.253003,0.457243,3.013113,1.122711,0.232703,0.379481,0,5.919007,0.984098,1.134461,0.134227,0.485296,1.019015,0.478307,1.822907
Real estate - fee or contract,0.149955,0.07267,0.07813,2.781229,0.241853,0.317582,0.281105,0.17486,0.111607,0.153407,0.220468,0.676162,0.139796,0.138117,0.157968,0.140303,0.059893,0.172614,0.092304,0.322442,0.130212,0.156257,0.93504,0.104454,0.099367,0.097412,0.226399,0.121974,0.366302,0.722273,0.308144,0.200957,0.155195,2.621656,7.641574,0.236263,0.096129,0.089053,0.097372,0.96621,0.303024,0.091914,0,0.251466,0.153993,0.050811,3.384143,0.058065,0.233363,0.118338,0.092887,0.9145,0.156915,0.107275,0.065576,0.106593,0.063808,0.439251,0.15891,0.137026,0.063604,0.189488,0.070018,0.117939,0.235919,0.126652,0.086462,0.198679,0.160047,0.235627,0.232279,0.333363,1001.955,0.152558,0.173612,0.136495,0.102079,0.104284,0.058158,0.102023,0.055656,0.238549,0.189697,0.124408,0.121095,0.170289,0.079261,0,0.181193,0.084494,0.217314,0.064121,0.16578,0.174181,0.118479,0.33883
Real estate - own,5.446241,2.631378,2.411149,5.002775,15.97531,2.854359,13.82239,4.158387,2.469615,3.747744,3.241211,4.940308,2.248781,4.106146,1.595952,1.459216,1.826335,4.47301,3.048713,7.118324,5.84328,7.730335,3.190714,2.417267,3.612289,3.522346,5.441902,5.636609,1.844116,14.10311,3.425661,2.580371,5.663727,2.513986,2.078302,11.32495,2.182665,3.913067,3.432688,2.769456,2.09362,7.704427,0,1.821768,2.740209,1.901303,17.16892,2.147119,10.31626,4.417808,3.337841,3.497155,1.094709,1.759377,2.7763,3.343126,1.901764,3.691145,8.336417,1.668566,2.815235,3.113825,1.603968,4.134693,2.492416,2.567513,0.872489,9.079847,6.119604,16.97269,2.808233,2.807612,8.166954,1005.535,2.533164,3.988406,3.857778,5.412114,3.068488,3.112165,1.228596,3.334101,2.107487,6.46313,5.062172,7.758539,1.867786,0,15.22858,4.078503,11.47026,3.444475,8.46158,2.896608,3.877614,4.979879
Rental and leasing services,0.745831,0.960159,0.759544,2.277618,1.413845,2.084581,1.723397,1.116204,1.083219,2.43631,2.760845,1.225114,1.107055,9.709264,1.809855,30.71783,1.657046,1.548779,2.563257,13.0001,1.239576,1.779512,2.19972,2.379278,2.276176,1.908834,1.623819,5.088511,0.848177,0.94782,2.592429,1.370299,0.688504,9.188729,5.665002,6.76029,0.647369,3.125446,4.82194,1.367669,0.72326,2.359185,0,0.618374,1.354757,1.883031,2.51399,2.509169,1.28704,1.061252,2.886764,2.897196,1.033226,10.49565,1.301216,8.346138,1.503272,3.177286,7.564697,3.430606,1.79965,1.080244,0.588455,3.449951,2.444254,2.911714,0.29534,2.985867,6.153093,1.500014,1.65657,36.91819,1.229708,1.496184,1009.414,2.878628,1.450516,0.964651,0.837774,2.443885,0.475961,3.88306,2.523479,1.530212,4.874166,1.037125,2.334631,0,5.99029,1.760157,17.48497,1.45741,1.188545,2.57962,4.892013,5.131149
